,Name,Twitter Handle,Miles from AA,First Offer,Last Offer,Official Visit,Last Official Visit,Attended Michigan,In-State,screenName,michFavToAllTweetRatio,michTweetToAllTweetRatio,michOverallTweetRatio,michNativeRTweetRatio,michNativeTweetRatio,Logisitc Regression l1 Pred Label,Logisitc Regression l1 No Prob,Logisitc Regression l1 Yes Prob,Logisitc Regression l2 Pred Label,Logisitc Regression l2 No Prob,Logisitc Regression l2 Yes Prob,Random Forest Model Predicted Labels,Random Forest No Prob,Random Forest Yes Prob
131,Isaiah Hodgins,IsaiahHodgins,2339,0,0,0,0,0,0,IsaiahHodgins,0,0,0.008448541,0.014608234,0,0,0.990024359,0.009975641,0,0.989685381,0.010314619,0,0.96,0.04
132,Pete Werner,petewerner23,452,0,0,0,0,0,0,petewerner23,5.569561325,6.174386921,0.026442308,0.042857143,0.009708738,0,0.955734406,0.044265594,0,0.97259612,0.02740388,0,0.974,0.026
133,Jonathan Sutherland,jay_suth,527,0,1,0,0,0,0,jay_suth,64.0293884,42.86921529,0.012903226,0.027210884,0.006289308,0,0.999823778,0.000176222,0,0.999852204,0.000147796,0,0.922,0.078
134,Bailey Hockman,baileyhockman,694,0,0,0,0,0,0,baileyhockman,32.78752643,19.58539604,0.007454739,0.011605416,0.002369668,0,0.996544037,0.003455963,0,0.997932864,0.002067136,0,0.996,0.004
135,Matt Dotson,Mattdotson21,250,0,0,0,0,0,0,Mattdotson21,6.857930415,9.032842672,0.030039526,0.048327138,0.01650619,0,0.956568762,0.043431238,0,0.973779567,0.026220433,0,0.982,0.018
136,Major Tennison,major_tennison,1123,0,0,0,0,0,0,major_tennison,13.23954908,17.68016194,0.002836879,0.00456621,0.002518892,0,0.99351985,0.00648015,0,0.994479469,0.005520531,0,0.984,0.016
137,Jimmy Jaggers,jimmy_jaggers,2253,0,0,0,0,0,0,jimmy_jaggers,11.9435241,18.44915254,0.018716578,0.038,0.003215434,0,0.998257903,0.001742097,0,0.997900548,0.002099452,0,0.99,0.01
138,Charles Reeves,ihoo_cr15,283,1,0,0,0,0,0,ihoo_cr15,0,0,0,0,0,0,0.897593292,0.102406708,0,0.947808437,0.052191563,0,0.996,0.004
139,Antjuan Simmons,_antjuan_,0,0,0,0,0,0,1,_antjuan_,1.619964768,1.61033915,0.034131032,0.051737452,0.015948963,0,0.88375381,0.11624619,0,0.898358663,0.101641337,0,0.978,0.022
140,Kenney Britt,K_Britt10,733,0,0,0,0,0,0,K_Britt10,0.737837838,0.1673314,0.005389867,0.011739594,0.002166847,0,0.939985779,0.060014221,0,0.960742177,0.039257823,0,0.998,0.002
141,MJ Webb,mwebb_8,769,0,0,0,0,0,0,mwebb_8,0.627142271,1.003674541,0.007611798,0.005235602,0.010460251,0,0.945015954,0.054984046,0,0.963003834,0.036996166,0,0.994,0.006
142,JaRaymond Hall,hall_american,39,1,0,1,1,1,1,hall_american,0,0,0.001811594,0.005494505,0,1,0.088152477,0.911847523,1,0.068120099,0.931879901,1,0.39,0.61
143,A.J. Davis,fyeboii,1157,0,0,0,0,0,0,fyeboii,0,0,0.000661594,0.001257862,0.000448833,0,0.960924447,0.039075553,0,0.971000222,0.028999778,0,1,0
144,Mike Harley,mikeharleyjr,1351,0,0,0,0,0,0,mikeharleyjr,11.43560888,16.86370158,0.026706231,0.03526971,0.005208333,0,0.99425483,0.00574517,0,0.994814239,0.005185761,0,0.928,0.072
145,Will Ignont,WillIgnont,631,0,0,0,0,0,0,WillIgnont,50.67863307,30.10082873,0.005642886,0.008995502,0.001743679,0,0.99926862,0.00073138,0,0.999586524,0.000413476,0,0.992,0.008
146,Kedrick James,kedrickjames044,1268,0,0,0,0,0,0,kedrickjames044,0,0,0.024193548,0.029268293,0,0,0.965557641,0.034442359,0,0.974062016,0.025937984,0,0.996,0.004
147,Tre Shaw,BcgTr3,729,0,0,0,0,0,0,BcgTr3,3.912977431,2.684782609,0.017756255,0.018145161,0.016194332,0,0.956040427,0.043959573,0,0.971401941,0.028598059,0,0.972,0.028
148,KJ Hamler,Kj_hamler,1203,0,0,0,0,0,0,Kj_hamler,7.648179116,6.531723485,0.035885167,0.050679852,0.008988764,0,0.983538248,0.016461752,0,0.987759793,0.012240207,0,0.972,0.028
149,Dalyn Wade-Perry,DalynWP,614,0,0,0,0,0,0,DalynWP,0.827211077,2.551198257,0.008751727,0.017,0.001707942,0,0.941329346,0.058670654,0,0.961427282,0.038572718,0,0.966,0.034
150,Grant Polley,gapolley44,1169,0,0,0,0,0,0,gapolley44,12.27807623,15.44023324,0.005611672,0.007142857,0.003021148,0,0.992511418,0.007488582,0,0.993730211,0.006269789,0,0.984,0.016
151,Monty Rice,RiceMonty,636,0,0,0,0,0,0,RiceMonty,1.363069162,1.610666667,0.005471956,0.006091371,0.004966887,0,0.940806301,0.059193699,0,0.961544697,0.038455303,0,0.988,0.012
152,Benjamin St-Juste,Benj_Juice,601,0,0,1,0,1,0,Benj_Juice,2.642857143,3,0.4,0.5,0.333333333,1,0.355155769,0.644844231,0,0.505851588,0.494148412,1,0.456,0.544
153,Logan Rudolph,Logan4Rudolph,642,0,0,0,0,0,0,Logan4Rudolph,1.74015748,2.75808788,0.01875,0.017241379,0.019607843,0,0.946316101,0.053683899,0,0.964784055,0.035215945,0,0.972,0.028
154,Chase Hayden,Chase_Hayden2,720,0,0,1,0,0,0,Chase_Hayden2,0,0,0.020576132,0.024975025,0,1,0.311349206,0.688650794,1,0.390108953,0.609891047,0,0.748,0.252
155,Elijah Hicks,ELITHEMAN1,2235,0,0,1,1,0,0,ELITHEMAN1,0,0,0,0,0,0,0.563570106,0.436429894,1,0.420833474,0.579166526,1,0.332,0.668
156,Taariq Johnson,JohnsonTaariq,2240,0,0,0,0,0,0,JohnsonTaariq,6.384444444,6.37950792,0.016853933,0.024064171,0.00887574,0,0.994720487,0.005279513,0,0.994531082,0.005468918,0,0.964,0.036
157,Rutger Reitmaier,ReitmaierRutger,522,0,0,1,1,0,0,ReitmaierRutger,0,0,0,0,0,1,0.14600415,0.85399585,1,0.137724082,0.862275918,1,0.388,0.612
158,Sampson Niu,saampsonniu,2301,0,1,0,0,0,0,saampsonniu,14.26293541,13.1345445,0.010542169,0.023752969,0.004410143,0,0.997915073,0.002084927,0,0.996741059,0.003258941,0,0.906,0.094
159,Ameer Speed,OG__speed,1000,0,0,0,0,0,0,OG__speed,4.045706482,3.894729345,0.00886918,0.019607843,0.002779708,0,0.970328049,0.029671951,0,0.978796186,0.021203814,0,0.98,0.02
160,J.T. Cauthen,CauthenJt,645,0,0,0,0,0,0,CauthenJt,26.43217451,24.06504065,0.00140056,0,0.003378378,0,0.996235653,0.003764347,0,0.997355816,0.002644184,0,0.982,0.018
161,Jordan Reid,jordanreid58,44,0,0,0,0,0,1,jordanreid58,10.07335694,7.697799296,0.033523538,0.039540816,0.025889968,0,0.949099336,0.050900664,0,0.954941314,0.045058686,0,0.96,0.04
162,J'Marick Woods,laythatwood26,652,1,0,1,0,1,0,laythatwood26,2.359008264,1.551689861,0.033333333,0.065989848,0.004484305,1,0.343422629,0.656577371,1,0.475940554,0.524059446,0,0.706,0.294
163,Juwan Burgess,OakhurstFredoo,1166,0,0,0,0,0,0,OakhurstFredoo,0,0,0.005030543,0.006575342,0.002087683,0,0.961321388,0.038678612,0,0.971308236,0.028691764,0,0.992,0.008
164,Popo Aumavae,PopoAumavae,2321,0,0,0,0,0,0,PopoAumavae,0.107468124,0,0.012269939,0.009615385,0.016949153,0,0.98986818,0.01013182,0,0.989565209,0.010434791,0,0.974,0.026
165,Tre' McKitty,T_mckitty,1203,0,0,0,0,0,0,T_mckitty,0.077124619,0,0.004487659,0.009478673,0.00123533,0,0.963055033,0.036944967,0,0.972377466,0.027622534,0,0.998,0.002
166,Jaquan Henderson,JaquanHenderso2,744,0,0,0,0,0,0,JaquanHenderso2,3.24932754,2.382588774,0.033503277,0.035527691,0.028846154,0,0.954464825,0.045535175,0,0.970423335,0.029576665,0,0.97,0.03
167,Tyler Smith,_lac14,694,0,1,0,0,0,0,_lac14,1.154888417,1.986745887,0.003501401,0.004956629,0.001610306,0,0.945259321,0.054740679,0,0.948051761,0.051948239,0,0.984,0.016
168,Mekhi Becton,semonebecton,626,0,1,1,0,0,0,semonebecton,0,0,0.034271726,0.044515103,0,1,0.288070644,0.711929356,1,0.291322891,0.708677109,0,0.678,0.322
169,Will Register,WRegister88,741,0,0,0,0,0,0,WRegister88,0,0,0,0,0,0,0.937694199,0.062305801,0,0.958610858,0.041389142,0,1,0
170,A.J. Dillon,ajdillon7,737,0,0,1,1,0,0,ajdillon7,5.84835833,6.099182248,0.109513274,0.144249513,0.063938619,1,0.309785184,0.690214816,1,0.290966732,0.709033268,0,0.586,0.414
171,Alex Cook,Alexcook_2,2270,0,1,0,0,0,0,Alexcook_2,7.945140695,9.050505051,0.006616257,0.006557377,0.006696429,0,0.996064883,0.003935117,0,0.993818167,0.006181833,0,0.976,0.024
172,Juliano Falaniko,julianofalaniko,6725,0,0,0,0,0,0,julianofalaniko,0,0,0,0,0,0,0.999943127,5.69E-05,0,0.999782847,0.000217153,0,0.896,0.104
173,Adarius Lemons,adariuslemons,1188,0,0,0,0,0,0,adariuslemons,1.336622428,1.12452264,0.025350593,0.028487947,0.016494845,0,0.967184942,0.032815058,0,0.975751304,0.024248696,0,0.986,0.014
174,Tre Swilling,TreSwilling,1052,0,0,0,0,0,0,TreSwilling,34.60496614,8.9214355,0.002615519,0.008,0.001956947,0,0.995786878,0.004213122,0,0.997758529,0.002241471,0,0.99,0.01
175,Brad Hawkins,bradhawkins9,586,0,0,1,1,1,0,bradhawkins9,7.822222222,5.245892305,0.076422764,0.155913978,0.041958042,1,0.281994849,0.718005151,1,0.281913332,0.718086668,0,0.794,0.206
176,Kenneth Murray,kmurrayy_9,1304,0,0,0,0,0,0,kmurrayy_9,0,0,0.002582073,0.00488145,0,0,0.966943171,0.033056829,0,0.974495193,0.025504807,0,1,0
177,Deontre Thomas,deontrele,1024,0,0,0,0,0,0,deontrele,10.44697695,7.952484472,0.016049383,0.028493894,0.005662514,0,0.983996,0.016004,0,0.988676498,0.011323502,0,0.968,0.032
178,Joel Honigford,jhonig44,201,0,0,0,0,1,0,jhonig44,15.6837505,18.24660103,0.009055627,0.01843318,0.005395683,0,0.983833803,0.016166197,0,0.989764541,0.010235459,0,0.97,0.03
179,Amari Carter,Carter_Fame,1297,0,0,0,0,0,0,Carter_Fame,4.097222986,3.285185185,0.008441193,0.011235955,0.005636979,0,0.978113844,0.021886156,0,0.983120361,0.016879639,0,0.974,0.026
180,Guy Thomas,17sackmangt,1373,0,0,0,0,0,0,17sackmangt,0,0,0.019753086,0.026490066,0,0,0.969449767,0.030550233,0,0.976262977,0.023737023,0,0.962,0.038
181,Carter Warren,CarterWarren79,601,0,0,0,0,0,0,CarterWarren79,8.741061453,9.033157199,0.006622517,0.009041591,0.004314064,0,0.973501779,0.026498221,0,0.982470453,0.017529547,0,0.982,0.018
182,Phillip Paea,Phill_paea,156,0,0,1,1,1,1,Phill_paea,3.225340737,3.726356589,0.317307692,0.345679012,0.217391304,1,0.144100157,0.855899843,1,0.109839742,0.890160258,1,0.442,0.558
183,Alex Forsyth,alexforsyth75,2352,0,0,0,0,0,0,alexforsyth75,0,0,0.003913894,0.00466563,0,0,0.990174771,0.009825229,0,0.989748044,0.010251956,0,0.974,0.026
184,Jack Coan,jcoan17,670,0,0,0,0,0,0,jcoan17,1.151676036,1.135773318,0.042682927,0.039370079,0.054054054,0,0.940658584,0.059341416,0,0.961975586,0.038024414,0,0.856,0.144
185,Jordan Wright,JayyDubb15,1351,0,0,0,0,0,0,JayyDubb15,9.970674487,3.656821378,0.006798097,0.010332951,0.001666667,0,0.985108837,0.014891163,0,0.989134787,0.010865213,0,0.958,0.042
186,De'Andre Wilder,Eyecandy_WILDer,1363,0,0,0,0,0,0,Eyecandy_WILDer,22.21838584,17.57575758,0.027124774,0.042042042,0.004545455,0,0.996898688,0.003101312,0,0.997539887,0.002460113,0,0.942,0.058
187,Kwity Paye,kwitypaye,785,0,0,1,1,1,0,kwitypaye,0,0,0,0,0,1,0.189101831,0.810898169,1,0.167740394,0.832259606,1,0.458,0.542
188,Damon Williams,new_uno,696,0,0,0,0,0,0,new_uno,12.87862441,7.942233633,0.008486563,0.023668639,0.003717472,0,0.979298016,0.020701984,0,0.987049645,0.012950355,0,0.968,0.032
189,Emmanuel McNeil,Eazy_Money_,728,0,0,0,0,0,0,Eazy_Money_,3.796597633,3.6875,0.053571429,0.04587156,0.06779661,0,0.958496929,0.041503071,0,0.972893808,0.027106192,0,0.81,0.19
190,Kane Taylor,taylor_kane11,1188,0,0,0,0,0,0,taylor_kane11,59.67407841,46.10443038,0.001428571,0.001841621,0.001166861,0,0.999918575,8.14E-05,0,0.99993453,6.55E-05,0,1,0
191,AJ Harris,aharris59,636,0,0,0,0,0,0,aharris59,16.36727909,9.659080963,0.008637236,0.014520813,0.002854424,0,0.983394062,0.016605938,0,0.989904147,0.010095853,0,0.97,0.03
192,Dalton Keene,DaltonKeene18,1237,0,0,0,0,0,0,DaltonKeene18,0,0,0,0,0,0,0.964319815,0.035680185,0,0.972910002,0.027089998,0,1,0
193,Anthony Payne,AnthonyPaynee,748,0,1,0,0,0,0,AnthonyPaynee,24.41765507,27.54384018,0.016832441,0.028208745,0.003344482,0,0.997068307,0.002931693,0,0.996684655,0.003315345,0,0.946,0.054
194,Joshua Fedd-Jackson,JoshF_Jackson65,610,0,0,0,0,0,0,JoshF_Jackson65,4.282064128,5.439058172,0.022624434,0.030092593,0.008658009,0,0.958628183,0.041371817,0,0.972972048,0.027027952,0,0.946,0.054
195,Logan Bruss,LoganBruss,448,0,0,0,0,0,0,LoganBruss,2.764499121,2.721649485,0.017857143,0,0.045454545,0,0.936491577,0.063508423,0,0.960603709,0.039396291,0,0.866,0.134
196,Tank Robinson,_TankDaGreat_,770,0,0,0,0,0,0,_TankDaGreat_,8.21875,5.109406953,0.013089005,0.020967742,0.003802281,0,0.971058136,0.028941864,0,0.981282271,0.018717729,0,0.982,0.018
197,Leroy Henley,leedady1998,1334,0,0,0,0,0,0,leedady1998,0,0,0.002006018,0.003415884,0,0,0.968056519,0.031943481,0,0.975127614,0.024872386,0,0.996,0.004
198,Corey Bolds,Chief_Corey,608,1,0,0,0,0,0,Chief_Corey,8.37260274,6.066598361,0.014830508,0.021352313,0.005235602,0,0.967517761,0.032482239,0,0.982610676,0.017389324,0,0.974,0.026
199,Shanon Reid,SReezy21,1284,0,0,1,0,0,0,SReezy21,4.549624541,4.500935745,0.080924855,0.157894737,0.074844075,0,0.600838769,0.399161231,0,0.652797052,0.347202948,0,0.592,0.408
200,Damion Daniels,dboogie_93,1174,0,0,0,0,0,0,dboogie_93,0.042666052,0.177203065,0.02417795,0.031626506,0.010810811,0,0.962187041,0.037812959,0,0.972198195,0.027801805,0,0.992,0.008
201,Dayo Odeyingbo,dodeyingbo,1131,0,0,0,0,0,0,dodeyingbo,7.131617647,7.618049225,0.023300971,0.027108434,0.016393443,0,0.98289796,0.01710204,0,0.987035267,0.012964733,0,0.994,0.006
202,Meshael Custis,Shy22Custis,738,0,0,0,0,0,0,Shy22Custis,13.83950617,9.311133201,0.021367521,0.022838499,0.018575851,0,0.982836684,0.017163316,0,0.989009013,0.010990987,0,0.994,0.006
203,James Houston,Jthouston_4,1351,0,0,0,0,0,0,Jthouston_4,0,0,0.017226529,0.029059829,0.005208333,0,0.968671231,0.031328769,0,0.97582163,0.02417837,0,0.952,0.048
204,Drew Dalman,drewww0,2442,0,0,0,0,0,0,drewww0,3.67189729,5.082706767,0.025,0,0.038461538,0,0.994779267,0.005220733,0,0.994126139,0.005873861,0,0.916,0.084
205,Robert Porcher IV,Rporcher4,1147,0,0,1,0,0,0,Rporcher4,5.143361282,6.582149394,0.024278215,0.028763183,0.014553015,0,0.602896403,0.397103597,0,0.641806541,0.358193459,0,0.814,0.186
206,Trey Pugh,pughtr3y,167,0,0,0,0,0,0,pughtr3y,21.70918367,27.9321663,0.01010101,0.027522936,0.001175088,0,0.993500601,0.006499399,0,0.995520894,0.004479106,0,0.978,0.022
207,Matt Landers,M_Landers1,1189,0,0,0,0,0,0,M_Landers1,0,0,0.008163265,0.010752688,0,0,0.962318284,0.037681716,0,0.971938746,0.028061254,0,0.988,0.012
208,Sterling Jones,_sterlingjones7,801,0,0,0,0,0,0,_sterlingjones7,12.01951274,11.19580551,0.01145213,0.020332717,0.008526188,0,0.984547332,0.015452668,0,0.989290747,0.010709253,0,0.996,0.004
209,Bradley Jennings Jr.,BjBradleyj13,1000,0,0,0,0,0,0,BjBradleyj13,0.620689655,0,0.002945508,0.003690037,0.00245098,0,0.954746245,0.045253755,0,0.968134779,0.031865221,0,0.998,0.002
210,Randall Haynie,R5_era,1351,0,0,0,0,0,0,R5_era,4.957259133,3.867051013,0.026923077,0.030164534,0.019313305,0,0.981053186,0.018946814,0,0.985327941,0.014672059,0,0.878,0.122
211,Jelani Woods,jelani_thegreat,729,0,0,0,0,0,0,jelani_thegreat,6.022262533,5.357834507,0.020021075,0.025522042,0.015444015,0,0.966684578,0.033315422,0,0.97800992,0.02199008,0,0.994,0.006
212,Clevan Thomas,aborn_star,1373,0,0,0,0,0,0,aborn_star,0,0,0.035714286,0.049180328,0,0,0.969449767,0.030550233,0,0.976561571,0.023438429,0,0.924,0.076
213,Kyshaun Bryan,KyshaunB,1351,0,0,0,0,0,0,KyshaunB,6.571396269,5.808957655,0.010469436,0.015853659,0.003785011,0,0.984642534,0.015357466,0,0.987837212,0.012162788,0,0.948,0.052
214,Scott Nelson,_scottnelson,44,0,0,0,0,0,1,_scottnelson,15.66037736,19.37638669,0.045623836,0.079782412,0.009569378,0,0.98197486,0.01802514,0,0.982021371,0.017978629,0,0.852,0.148
215,Kedonis Haslem,headhuncho77,1351,0,0,0,0,0,0,headhuncho77,8.38512159,7.88023088,0.02063185,0.022925764,0.017322835,0,0.987791701,0.012208299,0,0.99023042,0.00976958,0,0.934,0.066
216,Ben Mason,benchmason42,667,0,0,1,1,1,0,benchmason42,4.217213115,5.543278085,0.011904762,0,0.028571429,1,0.267893126,0.732106874,1,0.237715865,0.762284135,1,0.282,0.718
217,Josh Palmer,FlowerCitysOwn,260,0,0,0,0,0,0,FlowerCitysOwn,0,0,0.004526594,0.010058676,0,0,0.895070762,0.104929238,0,0.938339378,0.061660622,0,0.982,0.018
218,Allen Sritzinger,Stay_Winnin_,53,1,0,0,0,0,1,Stay_Winnin_,3.349991785,2.862570015,0.084962106,0.174509804,0.023537323,0,0.905888662,0.094111338,0,0.932469607,0.067530393,0,0.89,0.11
219,Jeremiah Zio,Jzio_24,1189,0,0,0,0,0,0,Jzio_24,0,0,0.068965517,0.086956522,0,0,0.962318284,0.037681716,0,0.973128309,0.026871691,0,0.556,0.444
220,Matt Hankins,Matt_Hankins1,1141,0,1,1,1,0,0,Matt_Hankins1,0,0,0.002862595,0.005565863,0,1,0.261990402,0.738009598,1,0.160570963,0.839429037,1,0.43,0.57
221,Garret Wallow,gwallow_12,1050,0,0,0,0,0,0,gwallow_12,0.38967803,0,0.010856454,0.019161677,0.002430134,0,0.956737345,0.043262655,0,0.969275935,0.030724065,0,0.996,0.004
222,Kurt Taylor,KurtTaylorRb2,745,0,0,0,0,1,0,KurtTaylorRb2,1.668686815,0.331327232,0.179487179,0.228748068,0.052,0,0.943988418,0.056011582,0,0.967728047,0.032271953,0,0.684,0.316
223,Drew White,Drew_white11,1351,0,0,0,0,0,0,Drew_white11,44.07900512,56.52405063,0.013239875,0.015763547,0.003717472,0,0.99992524,7.48E-05,0,0.99990627,9.37E-05,0,0.958,0.042
224,Tory Carter,Tory44Carter,886,0,0,0,0,0,0,Tory44Carter,0,0,0.005643341,0.014705882,0,0,0.946975614,0.053024386,0,0.963682249,0.036317751,0,0.986,0.014
225,Jordan Merrell,jordanmerrell1,331,0,0,0,0,0,0,jordanmerrell1,0,0,0.003442341,0.004830918,0.001848429,0,0.902685138,0.097314862,0,0.941724415,0.058275585,0,0.99,0.01
226,Malik Horton,MalikHorton_5,582,0,0,0,0,0,0,MalikHorton_5,0.951158422,0.618821293,0.007056452,0.010752688,0.002304147,0,0.931780082,0.068219918,0,0.956866261,0.043133739,0,0.986,0.014
227,Collin Smith,Collin17Smith,584,1,0,0,0,0,0,Collin17Smith,8.990800465,9.075471698,0.038147139,0.048275862,0.031531532,0,0.973390088,0.026609912,0,0.985409584,0.014590416,0,0.966,0.034
228,Chase Lasater,ChaseLasater,1000,0,0,0,0,0,0,ChaseLasater,3.808919457,3.803005101,0.200927357,0.244655582,0.119469027,0,0.96979396,0.03020604,0,0.980908277,0.019091723,0,0.704,0.296
229,Carter Dunaway,c_dunaway50,44,1,0,0,0,0,1,c_dunaway50,12.36041211,14.39772727,0.07300885,0.233333333,0.033149171,0,0.970495871,0.029504129,0,0.977762971,0.022237029,0,0.932,0.068
230,Ifeatu Melifonwu,Ifeatu_Mel,771,0,0,0,0,0,0,Ifeatu_Mel,0,0,0,0,0,0,0.939731246,0.060268754,0,0.959650823,0.040349177,0,1,0
231,Brad Robbins,brobb713,180,0,0,0,0,1,1,brobb713,0,0,0.031746032,0.036144578,0,0,0.88586553,0.11413447,0,0.895550117,0.104449883,0,0.946,0.054
